name_1,name_2,geometry,pop,tot_local_sources,tot_tax_revenue,tot_current_oper_income,total_oper_expenses,net_oper_income,total_non_income_receipts,capital_expenditure,total_non_oper_expenditures,cash_balance_end
Abra,Bangued,POINT (120.6071813842887 17.60052404162654),48163.0,74.04592008,36.55629364,230.5770761,206.8487167,23.72835939,0.0,16.202464,21.18111613,15.7586811
Abra,Boliney,POINT (120.8682168690012 17.37966183942142),3573.0,0.11566694,0.03563294,56.68988294,54.40990988,2.27997306,0.0,0.0,0.03,20.36974271
Abra,Bucay,POINT (120.7225256823065 17.52284728481303),17115.0,1.73641072,1.01956488,93.64724172,66.22238864,27.42485308,0.0,19.56003415,20.79218215,6.63267093
Abra,Bucloc,POINT (120.8476103635068 17.43767929851106),2501.0,0.27368935,0.12915035,44.78910413,29.63318092,15.15592321,0.0,0.479569,0.656569,24.34835602
Abra,Daguioman,POINT (120.9516546397566 17.4510240990762),2088.0,0.64380135,0.27765989,51.24232235,47.84848631,3.39383604,0.0,0.0,0.0,6.51157536
Abra,Malibcong,POINT (121.02766914946 17.58710370014312),3428.0,0.74891144,0.36691473,72.93387044,43.2351142,29.69875624,0.03764436,23.17162883,24.13887811,7.96697923
Abra,Danglas,POINT (120.6219494066837 17.74433677513011),4192.0,0.7026256,0.5071306,59.3068996,55.24412343,4.06277617,5.242,5.478,6.9136418,10.49418794
Abra,Dolores,POINT (120.726213115262 17.64898713041),11315.0,1.1413221,0.695262,64.9154441,62.49099222,2.42445188,0.0,0.6988955,0.6988955,3.63799552
Abra,La Paz,POINT (120.6546075922666 17.66236135139951),15437.0,1.58806423,1.13074391,62.16405623,55.78874348,6.37531275,0.0,0.65,4.14190328,2.88135947
Abra,Lacub,POINT (120.9807430871779 17.6973212021889),3403.0,0.71558286,0.46311086,73.28048686,73.06054888,0.21993798,0.0,0.90999959,1.1341257,2.61688799
Abra,Lagangilang,POINT (120.7806268046962 17.63282547763598),14255.0,1.91937487,0.89923087,92.2224409,46.19337682,46.02906408,0.0,43.33959224,48.74204468,1.67793167
Abra,Lagayan,POINT (120.7232440688484 17.78069736531658),4499.0,0.28012928,0.18698428,65.48291764,37.91846369,27.56445395,0.0,19.5771519,24.11161236,5.13780095
Abra,Langiden,POINT (120.535443024632 17.61443495881478),3198.0,0.54957141,0.37861348,60.61016941,55.37243357,5.23773584,0.0,0.605,4.49819096,1.17151295
Abra,Licuan-Baay,POINT (120.8805445393984 17.56841710486236),4689.0,0.29714072,0.10946049,71.24250872,48.24874526,22.99376346,0.0,9.28206657,9.28206657,15.90857286
Abra,Luba,POINT (120.6908532618904 17.32541177457342),6339.0,1.1557537,0.7143515,104.3437382,46.87270281,57.47103539,0.0,0.59949,0.59949,66.35556066
Abra,Manabo,POINT (120.7176095648745 17.41146232278209),10761.0,2.8387755,1.26350489,76.53640416,44.02357014,32.51283402,0.0,32.41781705,32.41781705,4.61067244
Abra,Peñarrubia,POINT (120.6662372182604 17.5380927739119),6640.0,1.20610446,0.68931308,55.18319646,30.85363185,24.32956461,15.0725,34.73507322,36.65480941,4.71929624
Abra,Pidigan,POINT (120.5739267917958 17.53776861814898),12185.0,1.07600919,0.76356219,88.77505019,61.153615,27.62143519,8.072965,41.49724694,41.49724694,1.21399026
Abra,Pilar,POINT (120.5856445527796 17.37552238352139),10223.0,3.15298157,2.15165307,256.9998076,101.0082752,155.9915323,0.010005,92.39052025,94.29674061,80.88430025
Abra,Sallapadan,POINT (120.7897696248122 17.480115892068),6622.0,0.57526647,0.27568853,49.12197247,46.95334446,2.16862801,0.0,1.08815,1.08815,6.28565795
Abra,San Isidro,POINT (120.6181248157524 17.4699852905372),4574.0,0.28035556,0.1736884,158.5609486,160.8899929,-2.32904434,0.0,0.3,0.484,24.47135784
Abra,San Juan,POINT (120.7550705123851 17.70734897242684),9867.0,1.35912979,0.90627129,48.55560679,44.58714332,3.96846347,0.0,0.247482,2.67541392,3.77736962
Abra,San Quintin,POINT (120.5138921285612 17.51845145983083),5438.0,1.07717312,0.24606373,96.09918794,32.84358431,63.25560363,0.0,6.18514644,58.14063797,12.34935052
Benguet,La Trinidad,POINT (120.5953668168149 16.47446889612835),129133.0,145.2171455,69.40938326,323.0971654,206.8208293,116.2763361,29.86874923,21.25970085,21.25970085,282.6328024
Abra,Tayum,POINT (120.679597242215 17.60756074165332),14467.0,1.72933987,0.90894331,97.87276051,55.0983691,42.77439141,4.9895,45.51196523,48.47752193,4.92762995
Abra,Tineg,POINT (120.9085708777255 17.83230825265442),5097.0,0.73716956,0.14382665,129.5815756,95.38771743,34.19385813,0.0,16.61566262,24.15000752,25.21634369
Abra,Tubo,POINT (120.8086064271117 17.2558567423236),5699.0,0.83410085,0.35579876,97.76871885,78.3297964,19.43892245,0.0,6.09404261,6.09404261,16.14351483
Benguet,Tuba,POINT (120.5645706336674 16.31961896810754),47648.0,28.36663234,20.21077562,164.357597,99.00919942,65.34839758,0.0,24.11909179,24.11909179,103.7141124
