"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98432099999","2021-01-01","14.0833333","121.05","11.0","AMBULONG, RP","  76.7"," 8","  71.9"," 8","1012.9"," 8","011.3"," 8"," 11.2"," 8"," 10.0"," 8"," 11.7","999.9","  80.6"," ","  73.4"," "," 0.00","I","999.9","000000"
"98432099999","2021-01-02","14.0833333","121.05","11.0","AMBULONG, RP","  78.7"," 8","  74.3"," 8","1011.6"," 8","010.4"," 8"," 10.7"," 8","  8.6"," 7","  9.7","999.9","  84.4"," ","  73.2"," "," 0.04","B","999.9","010000"
"98432099999","2021-01-03","14.0833333","121.05","11.0","AMBULONG, RP","  78.6"," 8","  75.7"," 8","1012.0"," 8","010.8"," 8"," 10.0"," 8","  4.9"," 6","  9.7","999.9","  83.7"," ","  74.7"," "," 0.45","G","999.9","010000"
"98432099999","2021-01-04","14.0833333","121.05","11.0","AMBULONG, RP","  80.9"," 8","  76.3"," 8","1011.6"," 8","010.4"," 8"," 11.0"," 8","  5.0"," 7","  5.8","999.9","  86.4"," ","  74.8"," "," 0.63","G","999.9","010000"
"98432099999","2021-01-05","14.0833333","121.05","11.0","AMBULONG, RP","  80.3"," 8","  74.0"," 8","1011.4"," 8","010.2"," 8"," 11.0"," 8","  5.0"," 7","  5.8","999.9","  86.5"," ","  75.2"," "," 0.05","G","999.9","010000"
"98432099999","2021-01-06","14.0833333","121.05","11.0","AMBULONG, RP","  81.5"," 8","  74.8"," 8","1010.4"," 8","009.2"," 8"," 11.2"," 8","  6.8"," 6","  9.7","999.9","  88.3"," ","  75.7","*"," 0.02","G","999.9","000000"
"98432099999","2021-01-07","14.0833333","121.05","11.0","AMBULONG, RP","  79.6"," 8","  75.2"," 8","1009.6"," 8","008.4"," 8"," 11.2"," 8","  7.8"," 7","  9.7","999.9","  86.7"," ","  75.4"," "," 0.03","G","999.9","000000"
"98432099999","2021-01-08","14.0833333","121.05","11.0","AMBULONG, RP","  79.4"," 8","  73.3"," 8","1010.0"," 8","008.8"," 8"," 11.2"," 8","  9.5"," 8"," 11.7","999.9","  85.1"," ","  75.4"," "," 0.00","G","999.9","000000"
"98432099999","2021-01-09","14.0833333","121.05","11.0","AMBULONG, RP","  77.7"," 7","  70.8"," 7","1011.1"," 7","009.9"," 7"," 11.2"," 7","  7.8"," 7"," 11.7","999.9","  82.2"," ","  75.6","*"," 0.00","I","999.9","000000"
"98432099999","2021-01-10","14.0833333","121.05","11.0","AMBULONG, RP","  76.4"," 8","  70.0"," 8","1012.2"," 8","011.1"," 8"," 11.2"," 8","  7.3"," 8"," 11.7","999.9","  79.7"," ","  73.4"," "," 0.00","I","999.9","000000"
"98432099999","2021-01-11","14.0833333","121.05","11.0","AMBULONG, RP","  77.3"," 8","  68.7"," 8","1012.6"," 8","011.4"," 8"," 11.0"," 8","  7.3"," 8"," 11.7","999.9","  83.3"," ","  72.1"," "," 0.00","I","999.9","000000"
"98432099999","2021-01-12","14.0833333","121.05","11.0","AMBULONG, RP","  77.0"," 8","  67.4"," 8","1011.9"," 8","010.7"," 8"," 11.0"," 8","  6.8"," 8","  9.7","999.9","  81.1"," ","  73.8","*"," 0.00","I","999.9","000000"
"98432099999","2021-01-13","14.0833333","121.05","11.0","AMBULONG, RP","  78.5"," 7","  72.5"," 7","1010.9"," 7","009.7"," 7"," 10.5"," 7","  5.0"," 7","  9.7","999.9","  83.3"," ","  71.6"," "," 0.00","I","999.9","000000"
"98432099999","2021-01-14","14.0833333","121.05","11.0","AMBULONG, RP","  80.2"," 8","  74.3"," 8","1010.3"," 8","009.0"," 8"," 11.2"," 8","  6.8"," 8","  9.7","999.9","  86.5"," ","  73.4"," "," 0.00","I","999.9","000000"
"98432099999","2021-01-15","14.0833333","121.05","11.0","AMBULONG, RP","  79.9"," 8","  73.6"," 8","1009.0"," 8","007.8"," 8"," 11.2"," 8","  5.1"," 8","  7.8","999.9","  84.9"," ","  74.8"," "," 0.00","I","999.9","000000"
"98432099999","2021-01-16","14.0833333","121.05","11.0","AMBULONG, RP","  80.4"," 8","  71.7"," 8","1009.5"," 8","008.3"," 8"," 11.2"," 8","  6.8"," 8","  9.7","999.9","  86.0"," ","  74.3"," "," 0.00","I","999.9","000000"
"98432099999","2021-01-17","14.0833333","121.05","11.0","AMBULONG, RP","  79.0"," 8","  71.4"," 8","1009.7"," 8","008.5"," 8"," 10.6"," 8","  7.3"," 8","  9.7","999.9","  85.6","*","  74.7","*"," 0.07","B","999.9","010000"
"98432099999","2021-01-18","14.0833333","121.05","11.0","AMBULONG, RP","  79.0"," 8","  72.8"," 8","1010.0"," 8","008.8"," 8"," 11.1"," 8","  7.8"," 8"," 11.7","999.9","  83.1","*","  74.8"," "," 0.23","G","999.9","000000"
"98432099999","2021-01-19","14.0833333","121.05","11.0","AMBULONG, RP","  78.6"," 8","  74.8"," 8","1009.5"," 8","008.3"," 8"," 11.2"," 8","  6.8"," 8","  9.7","999.9","  83.1"," ","  75.2"," "," 0.00","G","999.9","010000"
