,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,01,02:00,17°C,17°C,130°4 Km/h,N/A,94%,16°C,1015.0mb," Few Clouds at 550m, Broken Clouds at 8500m  "
1,2021,02,01,05:00,17°C,17°C,Variable at 4 Km/h,N/A,94%,16°C,1015.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
2,2021,02,01,06:00,17°C,17°C,Variable at 4 Km/h,N/A,94%,16°C,1015.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
3,2021,02,01,07:00,17°C,17°C,Variable at 2 Km/h,N/A,94%,16°C,1016.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
4,2021,02,01,08:00,21°C,21°C,80°6 Km/h,N/A,78%,17°C,1016.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
5,2021,02,01,09:00,25°C,25°C,Variable at 4 Km/h,N/A,65%,18°C,1016.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
6,2021,02,01,10:00,27°C,28°C,40°6 Km/h,N/A,58%,18°C,1016.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
7,2021,02,01,11:00,27°C,29°C,350°9 Km/h,N/A,66%,20°C,1015.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
8,2021,02,01,12:00,28°C,30°C,310°15 Km/h,N/A,62%,20°C,1014.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
9,2021,02,01,13:00,29°C,31°C,330°13 Km/h,N/A,58%,20°C,1013.0mb," Few Clouds at 550m, Scattered Clouds at 8800m  "
10,2021,02,01,14:00,29°C,30°C,330°15 Km/h,N/A,55%,19°C,1012.0mb," Few Clouds at 550m, Scattered Clouds at 8800m  "
11,2021,02,01,15:00,28°C,30°C,330°15 Km/h,N/A,62%,20°C,1012.0mb," Few Clouds at 550m, Scattered Clouds at 8800m  "
12,2021,02,01,16:00,29°C,31°C,310°9 Km/h,N/A,58%,20°C,1012.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
13,2021,02,01,17:00,28°C,30°C,300°9 Km/h,N/A,62%,20°C,1012.0mb," Few Clouds at 550m, Broken Clouds at 8800m  "
14,2021,02,01,18:00,27°C,28°C,Variable at 4 Km/h,N/A,62%,19°C,1013.0mb," Few Clouds at 550m, Scattered Clouds at 8800m  "
15,2021,02,01,19:00,25°C,26°C,170°6 Km/h,N/A,79%,21°C,1013.0mb," Few Clouds at 550m, Scattered Clouds at 8800m  "
16,2021,02,01,20:00,24°C,25°C,180°6 Km/h,N/A,78%,20°C,1014.0mb," Few Clouds at 550m, Scattered Clouds at 8800m  "
17,2021,02,01,23:00,21°C,21°C,Variable at 2 Km/h,N/A,83%,18°C,1015.0mb, Few Clouds at 550m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,02,02:00,19°C,19°C,140°6 Km/h,N/A,88%,17°C,1014.0mb, Few Clouds at 550m  
1,2021,02,02,05:00,19°C,19°C,80°6 Km/h,N/A,88%,17°C,1014.0mb," Few Clouds at 550m, Scattered Clouds at 8800m  "
