,Unnamed: 0,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition,Date
0,0.0,2021,02,01,00:00,26°C,28°C,360°17 Km/h,,79%,22°C,1013.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
1,1.0,2021,02,01,01:00,26°C,27°C,360°17 Km/h,,74%,21°C,1013.0mb," Few Clouds at 610m, Cloudy at 2700m  ",2021-02-01
2,2.0,2021,02,01,02:00,26°C,27°C,360°19 Km/h,,74%,21°C,1012.0mb," Few Clouds at 610m, Cloudy at 2700m  ",2021-02-01
3,3.0,2021,02,01,03:00,25°C,26°C,360°15 Km/h,,79%,21°C,1012.0mb," Few Clouds at 610m, Cloudy at 2700m  ",2021-02-01
4,4.0,2021,02,01,04:00,25°C,26°C,360°20 Km/h,,79%,21°C,1011.0mb," Few Clouds at 610m, Cloudy at 2700m  ",2021-02-01
5,5.0,2021,02,01,05:00,25°C,26°C,10°19 Km/h,,79%,21°C,1012.0mb," Few Clouds at 610m, Cloudy at 2700m  ",2021-02-01
6,6.0,2021,02,01,06:00,25°C,26°C,360°13 Km/h,,79%,21°C,1012.0mb," Few Clouds at 610m, Cloudy at 2700m  ",2021-02-01
7,7.0,2021,02,01,07:00,26°C,28°C,360°19 Km/h,,79%,22°C,1013.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
8,8.0,2021,02,01,08:00,27°C,29°C,10°19 Km/h,,74%,22°C,1013.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
9,9.0,2021,02,01,09:00,28°C,31°C,20°20 Km/h,,74%,23°C,1014.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
10,10.0,2021,02,01,10:00,28°C,31°C,20°20 Km/h,,74%,23°C,1014.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
11,11.0,2021,02,01,11:00,28°C,31°C,40°22 Km/h,,74%,23°C,1013.0mb," Scattered Clouds at 610m, Cloudy at 2700m Light Rain ",2021-02-01
12,12.0,2021,02,01,12:00,27°C,30°C,70°17 Km/h,,79%,23°C,1013.0mb," Scattered Clouds at 610m, Cloudy at 3000m  ",2021-02-01
13,13.0,2021,02,01,13:00,28°C,35°C,60°15 Km/h,,94%,27°C,1012.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
14,14.0,2021,02,01,14:00,28°C,31°C,40°15 Km/h,,70%,22°C,1011.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
15,15.0,2021,02,01,15:00,27°C,29°C,40°13 Km/h,,74%,22°C,1011.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
16,16.0,2021,02,01,16:00,28°C,31°C,40°11 Km/h,,74%,23°C,1010.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
17,17.0,2021,02,01,17:00,28°C,31°C,40°17 Km/h,,74%,23°C,1011.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
18,18.0,2021,02,01,18:00,27°C,30°C,30°19 Km/h,,79%,23°C,1011.0mb," Few Clouds at 610m, Cloudy at 3000m  ",2021-02-01
19,19.0,2021,02,01,19:00,27°C,30°C,10°9 Km/h,,79%,23°C,1012.0mb," Few Clouds at 610m, Cloudy at 2700m  ",2021-02-01
20,20.0,2021,02,01,20:00,27°C,30°C,10°9 Km/h,,79%,23°C,1012.0mb," Few Clouds at 610m, Cloudy at 2700m  ",2021-02-01
21,21.0,2021,02,01,21:00,27°C,30°C,360°7 Km/h,,79%,23°C,1012.0mb," Few Clouds at 610m, Cloudy at 2700m  ",2021-02-01
22,22.0,2021,02,01,22:00,26°C,28°C,350°13 Km/h,,84%,23°C,1012.0mb," Scattered Clouds at 610m, Cloudy at 2700m  ",2021-02-01
23,23.0,2021,02,01,23:00,25°C,26°C,60°6 Km/h,,89%,23°C,1013.0mb," Scattered Clouds at 610m, Cloudy at 2700m  ",2021-02-01
25,0.0,2021,02,02,00:00,25°C,26°C,100°7 Km/h,,94%,24°C,1012.0mb," Scattered Clouds at 610m, Cloudy at 2700m  ",2021-02-02
26,1.0,2021,02,02,01:00,24°C,25°C,110°7 Km/h,,94%,23°C,1012.0mb," Scattered Clouds at 610m, Cloudy at 2700m Light Rain ",2021-02-02
27,2.0,2021,02,02,02:00,24°C,25°C,130°6 Km/h,,100%,24°C,1011.0mb," Scattered Clouds at 610m, Cloudy at 2700m  ",2021-02-02
28,3.0,2021,02,02,03:00,25°C,26°C,Variable at 4 Km/h,,94%,24°C,1011.0mb," Scattered Clouds at 610m, Cloudy at 2700m Light Rain ",2021-02-02
29,4.0,2021,02,02,04:00,25°C,26°C,10°9 Km/h,,94%,24°C,1010.0mb," Scattered Clouds at 610m, Cloudy at 2700m Light Rain ",2021-02-02
30,5.0,2021,02,02,05:00,25°C,26°C,360°9 Km/h,,89%,23°C,1011.0mb," Scattered Clouds at 610m, Cloudy at 2700m Light Rain ",2021-02-02
