"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98325099999","2021-01-01","16.0833333","120.35","2.0","DAGUPAN, RP","  78.6"," 8","  71.8"," 8","1012.4"," 8","999.9"," 0","  6.2"," 8","  5.3"," 8","  9.7","999.9","  86.0"," ","  72.9"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-02","16.0833333","120.35","2.0","DAGUPAN, RP","  78.8"," 8","  73.9"," 8","1011.8"," 8","999.9"," 0","  6.2"," 8","  3.9"," 8","  9.7","999.9","  84.2"," ","  71.6"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-03","16.0833333","120.35","2.0","DAGUPAN, RP","  80.6"," 8","  73.8"," 8","1011.6"," 8","999.9"," 0","  5.9"," 8","  4.1"," 8","  5.8","999.9","  88.7"," ","  72.5"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-04","16.0833333","120.35","2.0","DAGUPAN, RP","  81.5"," 8","  74.4"," 8","1011.6"," 8","999.9"," 0","  6.1"," 8","  3.6"," 8","  3.9","999.9","  87.8"," ","  73.4"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-05","16.0833333","120.35","2.0","DAGUPAN, RP","  82.2"," 8","  77.6"," 8","1011.3"," 7","999.9"," 0","  6.2"," 8","  4.6"," 8","  5.8","999.9","  86.7"," ","  74.3"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-06","16.0833333","120.35","2.0","DAGUPAN, RP","  81.6"," 8","  77.0"," 8","1010.3"," 8","999.9"," 0","  6.5"," 8","  4.1"," 8","  5.8","999.9","  88.7"," ","  74.7","*"," 0.00","I","999.9","000000"
"98325099999","2021-01-07","16.0833333","120.35","2.0","DAGUPAN, RP","  81.7"," 7","  77.4"," 7","1010.0"," 7","999.9"," 0","  6.4"," 7","  4.7"," 7","  5.8","999.9","  86.4","*","  74.7"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-08","16.0833333","120.35","2.0","DAGUPAN, RP","  80.3"," 8","  74.6"," 8","1010.1"," 8","999.9"," 0","  6.1"," 8","  6.6"," 8"," 11.7","999.9","  85.1"," ","  74.3","*"," 0.00","I","999.9","000000"
"98325099999","2021-01-09","16.0833333","120.35","2.0","DAGUPAN, RP","  78.4"," 8","  72.9"," 8","1011.2"," 8","999.9"," 0","  6.2"," 8","  5.1"," 8","  9.7","999.9","  84.2"," ","  70.7","*"," 0.00","I","999.9","000000"
"98325099999","2021-01-10","16.0833333","120.35","2.0","DAGUPAN, RP","  78.1"," 8","  68.5"," 8","1011.8"," 8","999.9"," 0","  6.2"," 8","  4.4"," 8","  7.8","999.9","  87.8"," ","  69.8","*"," 0.00","I","999.9","000000"
"98325099999","2021-01-11","16.0833333","120.35","2.0","DAGUPAN, RP","  77.5"," 8","  70.5"," 8","1012.8"," 8","999.9"," 0","  6.2"," 8","  4.6"," 8","  5.8","999.9","  87.4"," ","  68.9","*"," 0.00","I","999.9","000000"
"98325099999","2021-01-12","16.0833333","120.35","2.0","DAGUPAN, RP","  76.2"," 7","  70.6"," 7","1012.2"," 7","999.9"," 0","  6.4"," 7","  5.3"," 7","  7.8","999.9","  81.9"," ","  68.9"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-13","16.0833333","120.35","2.0","DAGUPAN, RP","  78.3"," 8","  70.5"," 8","1011.0"," 8","999.9"," 0","  6.1"," 8","  3.9"," 8","  5.8","999.9","  85.1"," ","  70.3"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-14","16.0833333","120.35","2.0","DAGUPAN, RP","  80.6"," 8","  72.9"," 8","1010.1"," 8","999.9"," 0","  6.1"," 8","  4.6"," 8","  9.7","999.9","  86.0","*","  72.5"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-15","16.0833333","120.35","2.0","DAGUPAN, RP","  79.9"," 8","  73.7"," 8","1008.9"," 8","999.9"," 0","  6.2"," 8","  5.1"," 8","  9.7","999.9","  85.1"," ","  74.3","*"," 0.00","I","999.9","000000"
"98325099999","2021-01-16","16.0833333","120.35","2.0","DAGUPAN, RP","  80.6"," 8","  74.0"," 8","1009.1"," 8","999.9"," 0","  6.2"," 8","  4.1"," 8","  7.8","999.9","  86.9"," ","  74.3"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-17","16.0833333","120.35","2.0","DAGUPAN, RP","  80.6"," 8","  75.3"," 8","1010.0"," 8","999.9"," 0","  6.2"," 8","  4.6"," 8","  7.8","999.9","  84.4"," ","  76.6","*"," 0.00","I","999.9","000000"
"98325099999","2021-01-18","16.0833333","120.35","2.0","DAGUPAN, RP","  80.0"," 8","  74.3"," 8","1010.1"," 8","999.9"," 0","  6.2"," 8","  5.6"," 8","  7.8","999.9","  84.9","*","  74.1","*"," 0.00","G","999.9","000000"
"98325099999","2021-01-19","16.0833333","120.35","2.0","DAGUPAN, RP","  81.4"," 8","  73.7"," 8","1009.5"," 8","999.9"," 0","  6.2"," 8","  4.6"," 8","  7.8","999.9","  90.1"," ","  74.1"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-20","16.0833333","120.35","2.0","DAGUPAN, RP","  82.3"," 8","  74.9"," 8","1009.0"," 8","999.9"," 0","  6.2"," 8","  4.2"," 7","  5.8","999.9","  88.5"," ","  74.8"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-21","16.0833333","120.35","2.0","DAGUPAN, RP","  81.3"," 8","  75.5"," 8","1008.6"," 8","999.9"," 0","  5.6"," 8","  4.1"," 8","  7.8","999.9","  86.9"," ","  77.0"," "," 0.00","I","999.9","000000"
"98325099999","2021-01-22","16.0833333","120.35","2.0","DAGUPAN, RP","  80.9"," 8","  75.9"," 8","1008.6"," 8","999.9"," 0","  5.7"," 8","  4.6"," 8"," 13.6","999.9","  89.1"," ","  77.0","*"," 0.06","G","999.9","010010"
