"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98741099999","2021-01-01","8.601261","123.334481","3.65","DIPOLOG, RP","  85.3"," 4","  76.8"," 4","1009.0"," 4","008.6"," 4","  7.5"," 4","  3.9"," 4","  5.8","999.9","  89.6","*","  75.2"," "," 4.18","G","999.9","000000"
"98741099999","2021-01-02","8.601261","123.334481","3.65","DIPOLOG, RP","  84.2"," 4","  77.0"," 4","1008.9"," 4","008.5"," 4","  7.0"," 4","  3.9"," 4","  5.8","999.9","  87.8","*","  77.0"," "," 0.06","G","999.9","010000"
"98741099999","2021-01-03","8.601261","123.334481","3.65","DIPOLOG, RP","  83.3"," 4","  77.1"," 4","1008.7"," 4","008.3"," 4","  7.5"," 4","  3.4"," 4","  5.8","999.9","  86.2","*","  75.9"," "," 3.50","G","999.9","010000"
"98741099999","2021-01-04","8.601261","123.334481","3.65","DIPOLOG, RP","  81.9"," 4","  75.6"," 4","1009.2"," 4","008.8"," 4","  6.5"," 4","  3.9"," 4","  5.8","999.9","  83.1","*","  77.2"," "," 0.20","G","999.9","010000"
"98741099999","2021-01-05","8.601261","123.334481","3.65","DIPOLOG, RP","  85.6"," 4","  75.4"," 4","1008.5"," 4","008.1"," 4","  6.7"," 4","  4.9"," 4","  7.8","999.9","  89.2","*","  77.9"," "," 0.02","G","999.9","010000"
"98741099999","2021-01-06","8.601261","123.334481","3.65","DIPOLOG, RP","  85.2"," 4","  77.0"," 4","1008.1"," 4","007.7"," 4","  7.5"," 4","  4.4"," 4","  5.8","999.9","  89.2","*","  77.0"," "," 0.04","G","999.9","000000"
"98741099999","2021-01-07","8.601261","123.334481","3.65","DIPOLOG, RP","  82.9"," 4","  77.0"," 4","1008.0"," 4","007.6"," 4","  7.0"," 4","  2.4"," 4","  3.9","999.9","  88.9","*","  76.6"," "," 0.17","G","999.9","010000"
"98741099999","2021-01-08","8.601261","123.334481","3.65","DIPOLOG, RP","  85.3"," 4","  76.8"," 4","1007.2"," 4","006.8"," 4","  8.1"," 4","  2.9"," 4","  5.8","999.9","  89.6","*","  76.3"," "," 0.50","G","999.9","000000"
"98741099999","2021-01-09","8.601261","123.334481","3.65","DIPOLOG, RP","  85.6"," 4","  76.4"," 4","1007.6"," 4","007.2"," 4","  8.7"," 4","  4.4"," 4","  7.8","999.9","  88.9","*","  75.2"," "," 0.39","G","999.9","000000"
"98741099999","2021-01-10","8.601261","123.334481","3.65","DIPOLOG, RP","  83.2"," 4","  76.7"," 4","1008.0"," 4","007.5"," 4","  7.1"," 4","  2.4"," 4","  3.9","999.9","  85.3","*","  76.3"," "," 0.50","G","999.9","010000"
"98741099999","2021-01-11","8.601261","123.334481","3.65","DIPOLOG, RP","  82.7"," 4","  76.1"," 4","1008.4"," 4","008.0"," 4","  6.7"," 4","  4.9"," 4","  5.8","999.9","  86.0","*","  77.0"," "," 0.04","G","999.9","010000"
"98741099999","2021-01-12","8.601261","123.334481","3.65","DIPOLOG, RP","  80.3"," 4","  75.9"," 4","1008.5"," 4","008.1"," 4","  6.2"," 4","999.9"," 0","999.9","999.9","  82.8","*","  77.0"," "," 0.10","G","999.9","010000"
"98741099999","2021-01-13","8.601261","123.334481","3.65","DIPOLOG, RP","  82.4"," 4","  74.9"," 4","1008.3"," 4","007.8"," 4","  7.1"," 4","  3.4"," 4","  3.9","999.9","  84.6","*","  74.5"," "," 0.56","G","999.9","000000"
"98741099999","2021-01-14","8.601261","123.334481","3.65","DIPOLOG, RP","  81.8"," 4","  76.8"," 4","1008.3"," 4","007.9"," 4","  6.7"," 4","  1.9"," 4","  1.9","999.9","  83.8","*","  75.7"," "," 0.01","G","999.9","010000"
"98741099999","2021-01-15","8.601261","123.334481","3.65","DIPOLOG, RP","  81.8"," 4","  76.9"," 4","1007.1"," 4","006.8"," 4","  5.9"," 4","  2.4"," 4","  3.9","999.9","  85.3","*","  75.9"," "," 0.98","G","999.9","010000"
"98741099999","2021-01-16","8.601261","123.334481","3.65","DIPOLOG, RP","  83.6"," 4","  77.0"," 4","1006.4"," 4","006.0"," 4","  7.5"," 4","  4.4"," 4","  5.8","999.9","  87.1","*","  74.1"," "," 0.44","G","999.9","000000"
"98741099999","2021-01-17","8.601261","123.334481","3.65","DIPOLOG, RP","  82.4"," 4","  76.8"," 4","1006.7"," 4","006.3"," 4","  6.4"," 4","  2.9"," 4","  3.9","999.9","  86.2","*","  76.3"," "," 0.41","G","999.9","010000"
"98741099999","2021-01-18","8.601261","123.334481","3.65","DIPOLOG, RP","  77.6"," 4","  74.9"," 4","1007.3"," 4","006.9"," 4","999.9"," 0","  2.4"," 4","  3.9","999.9","  78.1","*","  76.5"," "," 1.13","G","999.9","010000"
"98741099999","2021-01-19","8.601261","123.334481","3.65","DIPOLOG, RP","  80.7"," 4","  76.3"," 4","1007.5"," 4","007.1"," 4","  6.8"," 4","  1.9"," 4","  1.9","999.9","  86.4","*","  74.8"," "," 3.23","G","999.9","010000"
"98741099999","2021-01-20","8.601261","123.334481","3.65","DIPOLOG, RP","  82.7"," 4","  76.8"," 4","1008.6"," 4","008.2"," 4","  7.0"," 4","  2.4"," 4","  3.9","999.9","  88.3","*","  74.7"," "," 0.18","G","999.9","010000"
"98741099999","2021-01-21","8.601261","123.334481","3.65","DIPOLOG, RP","  82.9"," 4","  76.1"," 4","1008.8"," 4","008.4"," 4","  7.8"," 4","  3.9"," 4","  5.8","999.9","  87.4","*","  75.6"," "," 0.16","G","999.9","010000"
