"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98434099999","2021-01-01","14.75","121.65","7.0","INFANTA, RP","  74.8"," 8","  73.0"," 8","1014.4"," 8","013.5"," 8","  6.7"," 8","  6.1"," 8","  7.8","999.9","  79.2"," ","  71.2"," "," 0.74","G","999.9","010000"
"98434099999","2021-01-02","14.75","121.65","7.0","INFANTA, RP","  77.3"," 8","  75.2"," 8","1013.3"," 8","012.5"," 8","  7.3"," 8","  8.0"," 8","  9.7","999.9","  81.0"," ","  70.7"," "," 0.36","G","999.9","010000"
"98434099999","2021-01-03","14.75","121.65","7.0","INFANTA, RP","  77.0"," 8","  76.5"," 8","1013.3"," 8","012.5"," 8","  7.7"," 8","  4.4"," 8","  5.8","999.9","  80.1"," ","  72.5"," "," 0.19","G","999.9","010000"
"98434099999","2021-01-04","14.75","121.65","7.0","INFANTA, RP","  79.4"," 8","  77.2"," 8","1012.9"," 8","012.1"," 8","  8.9"," 8","  5.6"," 8","  5.8","999.9","  85.8"," ","  74.5"," "," 3.09","G","999.9","010000"
"98434099999","2021-01-05","14.75","121.65","7.0","INFANTA, RP","  78.9"," 8","  77.0"," 8","1012.5"," 8","011.7"," 8"," 10.3"," 8","  3.9"," 8","  3.9","999.9","  82.6"," ","  75.2"," "," 1.21","G","999.9","000000"
"98434099999","2021-01-06","14.75","121.65","7.0","INFANTA, RP","  79.4"," 8","  76.6"," 8","1011.4"," 8","010.6"," 8"," 11.6"," 8","  5.8"," 8","  9.7","999.9","  85.3"," ","  74.3"," "," 0.09","G","999.9","010000"
"98434099999","2021-01-07","14.75","121.65","7.0","INFANTA, RP","  80.0"," 8","  75.9"," 8","1010.9"," 8","010.2"," 8"," 10.4"," 8","  4.4"," 8","  7.8","999.9","  86.2"," ","  75.2"," "," 0.24","G","999.9","000000"
"98434099999","2021-01-08","14.75","121.65","7.0","INFANTA, RP","  77.0"," 8","  74.4"," 7","1011.8"," 8","011.0"," 8","  7.9"," 8","  6.8"," 8","  9.7","999.9","  83.5"," ","  73.4"," "," 0.16","G","999.9","010000"
"98434099999","2021-01-09","14.75","121.65","7.0","INFANTA, RP","  75.0"," 8","  72.8"," 7","1013.5"," 8","012.8"," 8","  7.6"," 8","  7.0"," 8","  9.7","999.9","  79.3"," ","  71.4"," "," 0.44","G","999.9","010000"
"98434099999","2021-01-10","14.75","121.65","7.0","INFANTA, RP","  74.0"," 7","  70.9"," 7","1014.6"," 7","013.8"," 7","  6.8"," 7","  6.7"," 7","  7.8","999.9","  77.0"," ","  70.3"," "," 1.82","G","999.9","010000"
"98434099999","2021-01-11","14.75","121.65","7.0","INFANTA, RP","  76.2"," 8","  70.9"," 8","1014.2"," 8","013.4"," 8","  9.1"," 8","  6.3"," 8","  7.8","999.9","  79.7"," ","  71.6"," "," 0.74","G","999.9","000000"
"98434099999","2021-01-12","14.75","121.65","7.0","INFANTA, RP","  76.7"," 8","  70.7"," 8","1013.2"," 8","012.4"," 8"," 10.3"," 8","  3.6"," 8","  5.8","999.9","  81.0"," ","  73.4","*"," 0.00","G","999.9","000000"
"98434099999","2021-01-13","14.75","121.65","7.0","INFANTA, RP","  76.1"," 8","  73.4"," 8","1012.1"," 8","011.3"," 8","  7.2"," 8","  5.1"," 8","  7.8","999.9","  79.7"," ","  72.5"," "," 0.07","G","999.9","010000"
"98434099999","2021-01-14","14.75","121.65","7.0","INFANTA, RP","  76.7"," 8","  75.1"," 8","1011.5"," 8","010.7"," 8","  7.1"," 8","  4.6"," 8","  7.8","999.9","  81.0"," ","  73.4"," "," 0.80","G","999.9","010000"
"98434099999","2021-01-15","14.75","121.65","7.0","INFANTA, RP","  77.0"," 8","  73.8"," 8","1010.5"," 8","009.7"," 8","  7.8"," 8","  5.3"," 8","  7.8","999.9","  80.1"," ","  71.6"," "," 2.17","G","999.9","010000"
"98434099999","2021-01-16","14.75","121.65","7.0","INFANTA, RP","  79.0"," 8","  73.2"," 8","1010.7"," 8","009.9"," 8","  9.2"," 8","  4.9"," 8","  5.8","999.9","  82.8"," ","  77.7","*"," 0.34","G","999.9","000000"
"98434099999","2021-01-17","14.75","121.65","7.0","INFANTA, RP","  77.2"," 8","  75.0"," 8","1011.4"," 8","010.6"," 8","  8.3"," 8","  6.1"," 8","  9.7","999.9","  81.9"," ","  75.0","*"," 0.00","G","999.9","010000"
"98434099999","2021-01-18","14.75","121.65","7.0","INFANTA, RP","  76.2"," 8","  74.2"," 8","1011.9"," 8","011.1"," 8","  7.1"," 8","  7.0"," 8","  7.8","999.9","  79.9"," ","  72.9"," "," 0.98","G","999.9","010000"
