,Unnamed: 0,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition,Date
0,0.0,2021,02,01,01:00,22°C,22°C,270°7 Km/h,,78%,18°C,1016.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-01
1,1.0,2021,02,01,02:00,22°C,22°C,340°7 Km/h,,73%,17°C,1016.0mb," Few Clouds at 610m, Broken Clouds at 3000m  ",2021-02-01
2,2.0,2021,02,01,03:00,22°C,22°C,320°7 Km/h,,65%,15°C,1015.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
3,3.0,2021,02,01,04:00,22°C,22°C,320°7 Km/h,,69%,16°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
4,4.0,2021,02,01,05:00,22°C,22°C,270°7 Km/h,,73%,17°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 3000m  ",2021-02-01
5,5.0,2021,02,01,06:00,21°C,21°C,290°7 Km/h,,78%,17°C,1016.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
6,6.0,2021,02,01,07:00,21°C,21°C,320°7 Km/h,,78%,17°C,1016.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
7,7.0,2021,02,01,08:00,23°C,23°C,340°7 Km/h,,74%,18°C,1016.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
8,8.0,2021,02,01,09:00,24°C,24°C,360°7 Km/h,,69%,18°C,1017.0mb," Scattered Clouds at 610m, Broken Clouds at 3000m  ",2021-02-01
9,9.0,2021,02,01,10:00,25°C,25°C,40°11 Km/h,,65%,18°C,1017.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
10,10.0,2021,02,01,11:00,27°C,28°C,80°7 Km/h,,54%,17°C,1016.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
11,11.0,2021,02,01,12:00,28°C,29°C,20°7 Km/h,,51%,17°C,1015.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
12,12.0,2021,02,01,13:00,27°C,28°C,40°7 Km/h,,54%,17°C,1014.0mb," Scattered Clouds at 610m, Broken Clouds at 3000m  ",2021-02-01
13,13.0,2021,02,01,14:00,28°C,29°C,10°7 Km/h,,58%,19°C,1013.0mb," Scattered Clouds at 610m, Broken Clouds at 3000m  ",2021-02-01
14,14.0,2021,02,01,15:00,28°C,29°C,70°7 Km/h,,55%,18°C,1013.0mb," Scattered Clouds at 610m, Broken Clouds at 3000m  ",2021-02-01
15,15.0,2021,02,01,16:00,28°C,29°C,20°7 Km/h,,55%,18°C,1013.0mb," Scattered Clouds at 610m, Broken Clouds at 3000m  ",2021-02-01
16,16.0,2021,02,01,17:00,27°C,28°C,90°7 Km/h,,54%,17°C,1013.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
17,17.0,2021,02,01,18:00,26°C,27°C,90°7 Km/h,,58%,17°C,1014.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
18,18.0,2021,02,01,19:00,25°C,25°C,200°4 Km/h,,61%,17°C,1014.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
19,19.0,2021,02,01,20:00,23°C,23°C,260°4 Km/h,,74%,18°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
20,20.0,2021,02,01,21:00,23°C,23°C,250°7 Km/h,,74%,18°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
21,21.0,2021,02,01,22:00,22°C,22°C,280°7 Km/h,,78%,18°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
22,22.0,2021,02,01,23:00,22°C,22°C,270°4 Km/h,,78%,18°C,1016.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-01
24,0.0,2021,02,02,00:00,22°C,22°C,320°4 Km/h,,78%,18°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
25,1.0,2021,02,02,01:00,21°C,21°C,270°4 Km/h,,83%,18°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
26,2.0,2021,02,02,02:00,21°C,21°C,270°4 Km/h,,83%,18°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
27,3.0,2021,02,02,03:00,21°C,21°C,270°4 Km/h,,78%,17°C,1014.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-02
28,4.0,2021,02,02,04:00,20°C,20°C,290°4 Km/h,,83%,17°C,1014.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-02
29,5.0,2021,02,02,05:00,21°C,21°C,340°4 Km/h,,78%,17°C,1014.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-02
30,6.0,2021,02,02,06:00,21°C,21°C,250°4 Km/h,,78%,17°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-02
31,7.0,2021,02,02,07:00,21°C,21°C,320°7 Km/h,,78%,17°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
32,8.0,2021,02,02,08:00,24°C,24°C,320°7 Km/h,,69%,18°C,1016.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
33,9.0,2021,02,02,09:00,25°C,25°C,360°11 Km/h,,61%,17°C,1016.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
34,10.0,2021,02,02,10:00,27°C,27°C,360°15 Km/h,,51%,16°C,1016.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
35,11.0,2021,02,02,11:00,28°C,28°C,360°15 Km/h,,48%,16°C,1016.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
36,12.0,2021,02,02,12:00,29°C,29°C,20°15 Km/h,,45%,16°C,1015.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
37,13.0,2021,02,02,13:00,30°C,30°C,40°15 Km/h,,46%,17°C,1014.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-02
38,14.0,2021,02,02,14:00,30°C,30°C,40°15 Km/h,,46%,17°C,1013.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
39,15.0,2021,02,02,15:00,30°C,32°C,40°7 Km/h,,55%,20°C,1012.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
40,16.0,2021,02,02,16:00,30°C,32°C,40°7 Km/h,,55%,20°C,1012.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
41,17.0,2021,02,02,17:00,29°C,31°C,20°7 Km/h,,58%,20°C,1013.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-02
42,18.0,2021,02,02,18:00,28°C,30°C,90°7 Km/h,,62%,20°C,1013.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
43,19.0,2021,02,02,19:00,26°C,27°C,90°7 Km/h,,70%,20°C,1014.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
44,20.0,2021,02,02,20:00,25°C,25°C,340°4 Km/h,,74%,20°C,1014.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
45,21.0,2021,02,02,21:00,24°C,25°C,320°4 Km/h,,78%,20°C,1015.0mb," Scattered Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
46,22.0,2021,02,02,22:00,24°C,24°C,320°7 Km/h,,74%,19°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
47,23.0,2021,02,02,23:00,24°C,24°C,340°7 Km/h,,74%,19°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-02
49,0.0,2021,02,03,00:00,23°C,23°C,320°7 Km/h,,78%,19°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-03
50,1.0,2021,02,03,01:00,23°C,23°C,320°7 Km/h,,78%,19°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
51,2.0,2021,02,03,02:00,22°C,22°C,270°7 Km/h,,83%,19°C,1014.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-03
52,3.0,2021,02,03,03:00,22°C,22°C,320°7 Km/h,,83%,19°C,1014.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
53,4.0,2021,02,03,04:00,22°C,22°C,270°4 Km/h,,83%,19°C,1014.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
54,5.0,2021,02,03,05:00,22°C,22°C,320°4 Km/h,,83%,19°C,1014.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
55,6.0,2021,02,03,06:00,22°C,22°C,270°4 Km/h,,83%,19°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
56,7.0,2021,02,03,07:00,22°C,22°C,320°4 Km/h,,83%,19°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
57,8.0,2021,02,03,08:00,24°C,25°C,320°7 Km/h,,78%,20°C,1016.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
58,9.0,2021,02,03,09:00,26°C,27°C,320°11 Km/h,,70%,20°C,1016.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
59,10.0,2021,02,03,10:00,28°C,30°C,360°7 Km/h,,62%,20°C,1016.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
60,11.0,2021,02,03,11:00,29°C,31°C,40°7 Km/h,,58%,20°C,1016.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
61,12.0,2021,02,03,12:00,30°C,31°C,40°7 Km/h,,52%,19°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
62,13.0,2021,02,03,13:00,31°C,33°C,40°7 Km/h,,52%,20°C,1014.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
63,14.0,2021,02,03,14:00,31°C,33°C,40°15 Km/h,,52%,20°C,1013.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
64,15.0,2021,02,03,15:00,31°C,34°C,40°19 Km/h,,55%,21°C,1012.0mb," Scattered Clouds at 610m, Broken Clouds at 3000m  ",2021-02-03
65,16.0,2021,02,03,16:00,30°C,33°C,40°7 Km/h,,59%,21°C,1013.0mb," Scattered Clouds at 610m, Broken Clouds at 3000m  ",2021-02-03
66,17.0,2021,02,03,17:00,29°C,31°C,40°7 Km/h,,58%,20°C,1013.0mb," Few Clouds at 610m, Broken Clouds at 3000m  ",2021-02-03
67,18.0,2021,02,03,18:00,27°C,29°C,90°11 Km/h,,70%,21°C,1013.0mb," Few Clouds at 610m, Broken Clouds at 3000m  ",2021-02-03
68,19.0,2021,02,03,19:00,26°C,27°C,100°7 Km/h,,70%,20°C,1014.0mb," Few Clouds at 610m, Broken Clouds at 3000m  ",2021-02-03
69,20.0,2021,02,03,20:00,26°C,27°C,360°7 Km/h,,70%,20°C,1015.0mb," Scattered Clouds at 610m, Broken Clouds at 3000m  ",2021-02-03
70,21.0,2021,02,03,21:00,25°C,25°C,90°7 Km/h,,74%,20°C,1015.0mb," Few Clouds at 610m, Broken Clouds at 9100m  ",2021-02-03
71,22.0,2021,02,03,22:00,24°C,25°C,290°7 Km/h,,78%,20°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
72,23.0,2021,02,03,23:00,23°C,24°C,270°7 Km/h,,83%,20°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-03
74,0.0,2021,02,04,00:00,23°C,24°C,320°7 Km/h,,83%,20°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-04
75,1.0,2021,02,04,01:00,23°C,24°C,340°7 Km/h,,83%,20°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-04
76,2.0,2021,02,04,02:00,23°C,24°C,320°4 Km/h,,83%,20°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-04
77,3.0,2021,02,04,03:00,23°C,23°C,320°4 Km/h,,78%,19°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-04
78,4.0,2021,02,04,04:00,22°C,22°C,290°4 Km/h,,83%,19°C,1015.0mb," Few Clouds at 610m, Scattered Clouds at 9100m  ",2021-02-04
