"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98233099999","2021-01-01","17.638311","121.730614","21.33","TUGUEGARAO, RP","  70.7"," 8","  66.7"," 8","1017.0"," 8","999.9"," 0","  8.0"," 8","  4.4"," 8","  7.8","999.9","  77.0"," ","  65.3"," "," 0.00","I","999.9","000000"
"98233099999","2021-01-02","17.638311","121.730614","21.33","TUGUEGARAO, RP","  73.2"," 8","  69.2"," 8","1016.2"," 8","999.9"," 0","  7.8"," 8","  3.2"," 8","  7.8","999.9","  80.2"," ","  67.1"," ","99.99"," ","999.9","010000"
"98233099999","2021-01-03","17.638311","121.730614","21.33","TUGUEGARAO, RP","  75.5"," 8","  73.8"," 8","1015.1"," 8","999.9"," 0","  6.2"," 8","  2.7"," 8","  3.9","999.9","  79.5"," ","  68.0"," "," 0.02","G","999.9","010000"
"98233099999","2021-01-04","17.638311","121.730614","21.33","TUGUEGARAO, RP","  76.9"," 8","  73.0"," 8","1014.5"," 8","999.9"," 0","  6.5"," 8","  3.3"," 7","  5.8","999.9","  83.7"," ","  70.9"," "," 0.04","G","999.9","000000"
"98233099999","2021-01-05","17.638311","121.730614","21.33","TUGUEGARAO, RP","  75.6"," 8","  73.9"," 8","1013.9"," 8","999.9"," 0","  5.9"," 8","  3.4"," 8","  5.8","999.9","  81.0"," ","  71.8"," "," 0.00","G","999.9","010000"
"98233099999","2021-01-06","17.638311","121.730614","21.33","TUGUEGARAO, RP","  75.5"," 8","  71.6"," 8","1012.8"," 8","999.9"," 0","  7.5"," 8","  1.9"," 5","  1.9","999.9","  82.4"," ","  70.9"," "," 0.18","G","999.9","000000"
"98233099999","2021-01-07","17.638311","121.730614","21.33","TUGUEGARAO, RP","  75.1"," 8","  71.6"," 8","1012.8"," 8","999.9"," 0","  7.7"," 8","  4.2"," 7","  5.8","999.9","  82.2"," ","  70.2"," "," 0.00","G","999.9","000000"
"98233099999","2021-01-08","17.638311","121.730614","21.33","TUGUEGARAO, RP","  71.8"," 8","  67.9"," 8","1014.7"," 8","999.9"," 0","  7.8"," 8","  6.6"," 8","  7.8","999.9","  79.5"," ","  67.8","*"," 0.00","I","999.9","000000"
"98233099999","2021-01-09","17.638311","121.730614","21.33","TUGUEGARAO, RP","  70.7"," 8","  65.0"," 8","1016.0"," 8","999.9"," 0","  7.8"," 8","  5.1"," 8","  7.8","999.9","  78.4"," ","  66.2"," "," 0.00","I","999.9","000000"
"98233099999","2021-01-10","17.638311","121.730614","21.33","TUGUEGARAO, RP","  71.4"," 8","  64.8"," 8","1016.4"," 8","999.9"," 0","  6.4"," 8","  3.9"," 7","  5.8","999.9","  79.3"," ","  64.8"," "," 0.00","I","999.9","000000"
"98233099999","2021-01-11","17.638311","121.730614","21.33","TUGUEGARAO, RP","  70.5"," 8","  65.2"," 8","1016.1"," 8","999.9"," 0","  6.4"," 8","  3.1"," 7","  5.8","999.9","  80.6"," ","  63.7","*"," 0.00","I","999.9","000000"
"98233099999","2021-01-12","17.638311","121.730614","21.33","TUGUEGARAO, RP","  72.0"," 8","  66.1"," 8","1014.6"," 8","999.9"," 0","  6.6"," 8","  3.3"," 7","  5.8","999.9","  81.0"," ","  62.1"," "," 0.00","I","999.9","000000"
"98233099999","2021-01-13","17.638311","121.730614","21.33","TUGUEGARAO, RP","  72.8"," 8","  68.3"," 8","1013.8"," 8","999.9"," 0","  6.5"," 8","  1.9"," 8","  1.9","999.9","  80.4"," ","  66.2"," "," 0.00","I","999.9","000000"
"98233099999","2021-01-14","17.638311","121.730614","21.33","TUGUEGARAO, RP","  72.5"," 8","  69.6"," 8","1013.1"," 7","999.9"," 0","  7.3"," 8","  2.7"," 8","  3.9","999.9","  75.7","*","  67.8"," "," 0.00","I","999.9","000000"
"98233099999","2021-01-15","17.638311","121.730614","21.33","TUGUEGARAO, RP","  74.8"," 8","  69.6"," 8","1011.5"," 8","999.9"," 0","  7.5"," 8","  3.4"," 8","  5.8","999.9","  81.0"," ","  69.8"," "," 0.00","I","999.9","000000"
"98233099999","2021-01-16","17.638311","121.730614","21.33","TUGUEGARAO, RP","  74.8"," 8","  68.3"," 8","1012.4"," 8","999.9"," 0","  6.8"," 8","  3.6"," 8","  5.8","999.9","  82.8"," ","  68.5","*"," 0.00","I","999.9","000000"
"98233099999","2021-01-17","17.638311","121.730614","21.33","TUGUEGARAO, RP","  71.8"," 8","  69.1"," 8","1014.4"," 8","999.9"," 0","  6.5"," 8","  5.3"," 7","  7.8","999.9","  79.2"," ","  67.1"," "," 0.01","G","999.9","010000"
"98233099999","2021-01-18","17.638311","121.730614","21.33","TUGUEGARAO, RP","  72.1"," 8","  68.8"," 8","1014.9"," 8","999.9"," 0","  7.3"," 8","  5.1"," 8","  7.8","999.9","  77.7"," ","  68.0"," "," 0.05","G","999.9","010000"
"98233099999","2021-01-19","17.638311","121.730614","21.33","TUGUEGARAO, RP","  73.8"," 8","  70.5"," 8","1013.7"," 8","999.9"," 0","  6.8"," 8","  4.1"," 8","  5.8","999.9","  80.1"," ","  68.2"," "," 0.00","G","999.9","010000"
"98233099999","2021-01-20","17.638311","121.730614","21.33","TUGUEGARAO, RP","  75.9"," 8","  73.4"," 8","1011.6"," 8","999.9"," 0","  6.3"," 8","  3.6"," 6","  5.8","999.9","  80.1"," ","  70.9"," "," 0.00","G","999.9","010000"
"98233099999","2021-01-21","17.638311","121.730614","21.33","TUGUEGARAO, RP","  71.8"," 8","9999.9"," 0","1010.3"," 8","999.9"," 0","  5.7"," 8","  2.3"," 5","  3.9","999.9","  80.1"," ","  57.7","*"," 1.15","G","999.9","010000"
"98233099999","2021-01-22","17.638311","121.730614","21.33","TUGUEGARAO, RP","  78.8"," 8","  75.3"," 8","1008.9"," 8","999.9"," 0","  7.4"," 8","  2.8"," 7","  3.9","999.9","  87.8"," ","  73.0"," "," 0.46","G","999.9","010000"
"98233099999","2021-01-23","17.638311","121.730614","21.33","TUGUEGARAO, RP","  76.9"," 8","  74.0"," 8","1011.0"," 8","999.9"," 0","  6.9"," 8","  3.1"," 5","  5.8","999.9","  82.9"," ","  73.8","*"," 0.04","G","999.9","000000"
"98233099999","2021-01-24","17.638311","121.730614","21.33","TUGUEGARAO, RP","  74.6"," 8","  72.1"," 8","1013.9"," 8","999.9"," 0","  7.1"," 8","  5.8"," 5","  7.8","999.9","  79.9"," ","  71.6"," "," 0.01","G","999.9","010000"
"98233099999","2021-01-25","17.638311","121.730614","21.33","TUGUEGARAO, RP","  75.5"," 8","  73.9"," 8","1013.1"," 8","999.9"," 0","  5.3"," 8","  3.1"," 5","  3.9","999.9","  79.5"," ","  71.2"," "," 0.01","G","999.9","010000"
"98233099999","2021-01-26","17.638311","121.730614","21.33","TUGUEGARAO, RP","  75.1"," 7","  73.3"," 7","1012.8"," 7","999.9"," 0","  6.1"," 7","  2.5"," 7","  3.9","999.9","  79.2","*","  72.3","*"," 0.07","G","999.9","010000"
