pop,tot_local_sources,tot_tax_revenue,tot_current_oper_income,total_oper_expenses,net_oper_income,total_non_income_receipts,capital_expenditure,total_non_oper_expenditures,cash_balance_end,shp_province,shp_municipality
48163,74.04592008,36.55629364,230.5770761,206.8487167,23.72835939,0,16.202464,21.18111613,15.7586811,Abra,Bangued
3573,0.11566694,0.03563294,56.68988294,54.40990988,2.27997306,0,0,0.03,20.36974271,Abra,Boliney
17115,1.73641072,1.01956488,93.64724172,66.22238864,27.42485308,0,19.56003415,20.79218215,6.63267093,Abra,Bucay
2501,0.27368935,0.12915035,44.78910413,29.63318092,15.15592321,0,0.479569,0.656569,24.34835602,Abra,Bucloc
2088,0.64380135,0.27765989,51.24232235,47.84848631,3.39383604,0,0,0,6.51157536,Abra,Daguioman
4192,0.7026256,0.5071306,59.3068996,55.24412343,4.06277617,5.242,5.478,6.9136418,10.49418794,Abra,Danglas
11315,1.1413221,0.695262,64.9154441,62.49099222,2.42445188,0,0.6988955,0.6988955,3.63799552,Abra,Dolores
15437,1.58806423,1.13074391,62.16405623,55.78874348,6.37531275,0,0.65,4.14190328,2.88135947,Abra,La Paz
3403,0.71558286,0.46311086,73.28048686,73.06054888,0.21993798,0,0.90999959,1.1341257,2.61688799,Abra,Lacub
14255,1.91937487,0.89923087,92.2224409,46.19337682,46.02906408,0,43.33959224,48.74204468,1.67793167,Abra,Lagangilang
4499,0.28012928,0.18698428,65.48291764,37.91846369,27.56445395,0,19.5771519,24.11161236,5.13780095,Abra,Lagayan
3198,0.54957141,0.37861348,60.61016941,55.37243357,5.23773584,0,0.605,4.49819096,1.17151295,Abra,Langiden
4689,0.29714072,0.10946049,71.24250872,48.24874526,22.99376346,0,9.28206657,9.28206657,15.90857286,Abra,Licuan-Baay
6339,1.1557537,0.7143515,104.3437382,46.87270281,57.47103539,0,0.59949,0.59949,66.35556066,Abra,Luba
3428,0.74891144,0.36691473,72.93387044,43.2351142,29.69875624,0.03764436,23.17162883,24.13887811,7.96697923,Abra,Malibcong
10761,2.8387755,1.26350489,76.53640416,44.02357014,32.51283402,0,32.41781705,32.41781705,4.61067244,Abra,Manabo
6640,1.20610446,0.68931308,55.18319646,30.85363185,24.32956461,15.0725,34.73507322,36.65480941,4.71929624,Abra,Peñarrubia
12185,1.07600919,0.76356219,88.77505019,61.153615,27.62143519,8.072965,41.49724694,41.49724694,1.21399026,Abra,Pidigan
10223,3.15298157,2.15165307,256.9998076,101.0082752,155.9915323,0.010005,92.39052025,94.29674061,80.88430025,Abra,Pilar
6622,0.57526647,0.27568853,49.12197247,46.95334446,2.16862801,0,1.08815,1.08815,6.28565795,Abra,Sallapadan
4574,0.28035556,0.1736884,158.5609486,160.8899929,-2.32904434,0,0.3,0.484,24.47135784,Abra,San Isidro
9867,1.35912979,0.90627129,48.55560679,44.58714332,3.96846347,0,0.247482,2.67541392,3.77736962,Abra,San Juan
5438,1.07717312,0.24606373,96.09918794,32.84358431,63.25560363,0,6.18514644,58.14063797,12.34935052,Abra,San Quintin
14467,1.72933987,0.90894331,97.87276051,55.0983691,42.77439141,4.9895,45.51196523,48.47752193,4.92762995,Abra,Tayum
5097,0.73716956,0.14382665,129.5815756,95.38771743,34.19385813,0,16.61566262,24.15000752,25.21634369,Abra,Tineg
5699,0.83410085,0.35579876,97.76871885,78.3297964,19.43892245,0,6.09404261,6.09404261,16.14351483,Abra,Tubo
5392,0.62561254,0.42097054,186.6752565,175.8076445,10.86761208,0,0.10018354,0.10018354,28.05875143,Abra,Villaviciosa
61614,24.28915947,9.44222428,182.8338873,137.6238941,45.20999316,0.03883376,27.88314053,31.51502293,21.94331501,Agusan del Norte,Buenavista
20839,6.95543069,2.90348253,84.51437098,64.94336508,19.5710059,0.02425,8.69946219,9.29808199,11.10800551,Agusan del Norte,Carmen
73639,57.40240362,27.60578139,511.1106989,252.4310429,258.6796561,0,3.27442476,5.1928836,491.8442917,Agusan del Norte,Cabadbaran City
23184,3.39784183,1.40531825,95.95496238,85.37942987,10.57553251,0,1.65070768,1.65070768,14.09941439,Agusan del Norte,Jabonga
18659,9.27427793,2.27180984,78.66072751,68.30503276,10.35569475,0,0.62872778,0.62872778,30.3662201,Agusan del Norte,Kitcharao
28414,4.28155817,1.78773743,135.8177712,98.08179535,37.73597582,0,10.69910673,14.90807261,39.91873852,Agusan del Norte,Las Nieves
21007,15.14153216,8.41268462,74.33933165,49.72621422,24.61311743,0,2.13730048,5.55820458,23.39088228,Agusan del Norte,Magallanes
41957,31.7804003,24.16709837,129.0261902,130.0094875,-0.9832973,0,11.31754808,11.31754808,42.76064612,Agusan del Norte,Nasipit
16058,5.94226337,2.2889401,61.70064314,47.42085799,14.27978515,15,21.75377141,23.87469351,16.33539998,Agusan del Norte,Remedios T. Romualdez
24200,2.32030972,1.08802935,88.60635835,82.0410441,6.56531425,0,0.46118033,0.46118033,17.48787256,Agusan del Norte,Santiago
24932,31.08654296,28.48701142,124.7968314,94.29338656,30.50344488,0,11.99922938,11.99922938,55.62313298,Agusan del Norte,Tubay
45151,68.5957919,25.20118965,205.2851259,136.4745374,68.81058855,0,29.35328956,40.84857342,56.66868452,Agusan del Sur,Bunawan
103202,72.31020299,38.59389971,800.8209337,341.6664755,459.1544582,0,169.385598,169.385598,623.3201971,Agusan del Sur,Bayugan City
54801,23.48432869,5.00303205,280.9389383,185.8205646,95.11837371,0,37.96042263,43.41362763,137.2354361,Agusan del Sur,Esperanza
28217,8.36139949,1.57664993,249.8693205,240.9461533,8.92316723,0,4.684,11.53524776,8.19928027,Agusan del Sur,La Paz
42501,3.86023142,2.03661081,258.0746104,211.0236868,47.05092364,41.02980805,25.60135609,32.93924001,113.8323772,Agusan del Sur,Loreto
82631,42.24380297,12.62801772,230.4570605,172.4275938,58.02946669,15.4,19.88026433,29.32773072,119.0753281,Agusan del Sur,Prosperidad
46683,49.19399981,35.62715068,171.5235622,149.4333037,22.09025849,0,2.67584388,4.48919254,66.90649812,Agusan del Sur,Rosario
74542,90.3361468,46.26538968,257.3928703,246.5979621,10.79490821,54.98,56.03730041,56.03730041,52.41034242,Agusan del Sur,San Francisco
32109,8.17396886,1.15918004,190.9399569,159.0056236,31.93433322,61.0802,82.26745634,89.26295563,4.71378634,Agusan del Sur,San Luis
26729,11.9467626,4.0971878,111.5731736,93.96099266,17.61218095,0.05857377,10.4358144,12.3672069,6.23604506,Agusan del Sur,Santa Josefa
30442,10.21578392,1.82441531,145.2856764,113.8366456,31.44903088,15.48985,39.49735809,43.25959741,26.39230201,Agusan del Sur,Sibagat
38374,24.85025435,3.57802004,148.1484765,116.8911766,31.25729983,14.9288,22.9752357,27.99960281,23.60204437,Agusan del Sur,Talacogon
51565,32.6553425,14.88238837,188.1431206,104.704499,83.43862163,0,9.39395022,15.84555257,114.4153049,Agusan del Sur,Trento
43706,7.52193417,4.09111607,132.9636172,118.2001461,14.76347108,0,0.80011366,4.42775362,15.39303593,Agusan del Sur,Veruela
24619,12.35876939,2.94379223,85.38126897,61.01655912,24.36470985,0,15.09195384,15.09195384,43.57553305,Aklan,Altavas
28920,8.2727249,1.58956651,86.67244093,57.52271374,29.14972719,0,19.96805363,23.48446859,18.9688549,Aklan,Balete
39505,10.36481707,4.16844773,97.09687607,64.5953591,32.50151697,0,12.30991384,12.30991384,33.65556184,Aklan,Banga
32032,7.50883116,2.07295041,83.01513493,68.1771402,14.83799473,0,0.3060825,0.3060825,41.91462044,Aklan,Batan
19003,8.66412191,1.87944306,67.0286939,44.51911099,22.50958291,0.24654581,9.2892766,10.6490731,27.41518168,Aklan,Buruanga
49564,13.74863191,4.01122314,118.5249417,43.05135244,75.47358926,0,2.82465552,4.93179836,74.20815776,Aklan,Ibajay
80605,162.1316857,97.50110483,294.0711747,194.5220494,99.54912533,1.18881216,23.14321297,30.06110681,134.3695892,Aklan,Kalibo
15224,2.09102024,1.4973054,49.91679437,35.25848183,14.65831254,0,7.83095884,9.1631198,10.38027527,Aklan,Lezo
28241,3.60408239,2.05902264,96.78258839,76.4287582,20.35383019,0,0.37546807,2.16050303,39.13525518,Aklan,Libacao
18389,2.73555218,1.13335768,84.95459418,69.79340845,15.16118573,0,0,2.68294743,33.68018457,Aklan,Madalag
27262,5.88446529,2.53761351,73.53764665,54.63329417,18.90435248,0,0,0.39286293,50.76816406,Aklan,Makato
52973,359.5692413,119.5985954,460.6582436,268.6758765,191.9823671,0,21.92384754,24.21209754,418.899963,Aklan,Malay
23194,3.85041565,1.94648009,84.64353555,55.82629572,28.81723983,0.00683273,16.40687302,16.75837302,90.85511595,Aklan,Malinao
36435,13.22107184,5.50300605,91.53215969,76.19223689,15.3399228,0,0.045,0.045,85.17588887,Aklan,Nabas
45007,14.62236039,6.5435843,104.5958313,72.86523863,31.73059269,0,5.49168436,7.41426394,65.29780743,Aklan,New Washington
31934,11.18239661,6.89074845,80.10061644,58.09607136,22.00454508,1.26119283,0.8614855,0.8614855,44.37539832,Aklan,Numancia
21916,4.67071563,1.92195357,66.11507827,52.24391395,13.87116432,0,5.8280982,5.8280982,22.44672037,Aklan,Tangalan
68906,10.52664684,5.7847044,138.4752265,74.98918652,63.48603996,0,4.39811573,4.39811573,188.2943091,Albay,Bacacay
66904,18.45473435,13.35255861,145.2589964,82.869724,62.38927243,2.1414253,17.73153678,44.36365174,111.2847394,Albay,Camalig
111399,70.90234027,33.81853425,532.1402042,286.5985873,245.5416168,0.98169903,56.3263527,59.86430762,570.2092063,Albay,Ligao City
133868,94.55877273,43.12176244,502.8957738,267.0900904,235.8056834,0,46.95520455,46.95520455,1215.712058,Albay,Tabaco City
126595,83.68363468,27.85433044,279.0192973,196.443444,82.57585324,25,49.29918002,49.36095902,180.2824708,Albay,Daraga
82361,34.32376433,15.41467176,191.2400053,125.9997416,65.24026371,8.08495864,16.56596898,27.36695699,124.6268166,Albay,Guinobatan
17308,2.77881999,0.88317607,63.66866199,44.14485176,19.52381023,0,7.49203294,7.49203294,15.26320042,Albay,Jovellar
196639,373.4428188,301.1539371,894.0215382,616.5852097,277.4363285,71.72115735,109.5690527,188.9229127,338.1009259,Albay,Legazpi City
75172,16.15757442,4.31490457,164.2443856,86.26168184,77.98270376,0,31.29498721,40.08710044,121.4817864,Albay,Libon
37785,25.25960389,1.89189983,103.7074126,50.76018754,52.94722501,2.36950506,1.985553,2.051033,137.5252703,Albay,Malilipot
45301,6.93521,4.86032421,102.255002,81.37739254,20.87760946,0,16.52887057,19.18733399,4.70251255,Albay,Malinao
24707,31.40937629,27.3479652,101.4883743,51.05838839,50.42998586,0,13.14926997,13.14926997,142.5953717,Albay,Manito
67960,11.73992763,4.05070382,154.2776476,104.7420785,49.53556913,0,30.36351068,33.96929375,57.10686631,Albay,Oas
46693,8.58482323,3.34994107,145.4028004,87.70113592,57.7016645,0,1.05091398,1.05091398,80.2106826,Albay,Pio Duran
88221,35.20510014,14.97398217,187.2089196,121.9731105,65.23580918,0,14.35049786,15.26716449,99.4852508,Albay,Polangui
36920,6.1268575,1.16714386,99.30380315,64.50035193,34.80345122,0,4.310638,6.310638,206.0431459,Albay,Rapu-Rapu
34967,10.97755306,3.95234323,86.19623715,47.47207301,38.72416414,0,0.729849,0.729849,61.58064427,Albay,Santo Domingo
