,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,01,00:00,24°C,25°C,90°6 Km/h,N/A,78%,20°C,1015.0mb, Few Clouds at 760m  
1,2021,02,01,01:00,24°C,25°C,Variable at 4 Km/h,N/A,78%,20°C,1015.0mb, Scattered Clouds at 760m  
2,2021,02,01,02:00,24°C,25°C,Calm,N/A,78%,20°C,1015.0mb," Few Clouds at 760m, Broken Clouds at 2400m  "
3,2021,02,01,03:00,24°C,25°C,Variable at 2 Km/h,N/A,78%,20°C,1014.0mb," Scattered Clouds at 760m, Scattered Clouds at 3000m  "
4,2021,02,01,04:00,23°C,24°C,Variable at 4 Km/h,N/A,83%,20°C,1014.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
5,2021,02,01,05:00,24°C,25°C,120°6 Km/h,N/A,78%,20°C,1014.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
6,2021,02,01,06:00,23°C,24°C,10°13 Km/h,N/A,83%,20°C,1015.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
7,2021,02,01,07:00,23°C,24°C,20°9 Km/h,N/A,83%,20°C,1015.0mb," Scattered Clouds at 760m, Scattered Clouds at 3000m  "
8,2021,02,01,08:00,24°C,25°C,10°11 Km/h,N/A,78%,20°C,1015.0mb," Scattered Clouds at 760m, Scattered Clouds at 9100m  "
9,2021,02,01,09:00,26°C,27°C,60°9 Km/h,N/A,70%,20°C,1015.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
10,2021,02,01,10:00,28°C,30°C,90°7 Km/h,N/A,62%,20°C,1015.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
11,2021,02,01,11:00,28°C,30°C,Variable at 9 Km/h,N/A,62%,20°C,1015.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
12,2021,02,01,12:00,29°C,31°C,Variable at 9 Km/h,N/A,62%,21°C,1014.0mb, Broken Clouds at 700m  
13,2021,02,01,13:00,29°C,31°C,100°13 Km/h,N/A,62%,21°C,1013.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
14,2021,02,01,14:00,30°C,32°C,120°13 Km/h,N/A,55%,20°C,1012.0mb," Scattered Clouds at 700m, Scattered Clouds at 9100m  "
15,2021,02,01,15:00,29°C,31°C,110°17 Km/h,N/A,58%,20°C,1011.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
16,2021,02,01,16:00,29°C,31°C,70°20 Km/h,N/A,58%,20°C,1012.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
17,2021,02,01,17:00,29°C,31°C,100°13 Km/h,N/A,58%,20°C,1012.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
18,2021,02,01,18:00,27°C,28°C,100°15 Km/h,N/A,62%,19°C,1013.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
19,2021,02,01,19:00,27°C,28°C,100°15 Km/h,N/A,62%,19°C,1013.0mb, Few Clouds at 760m  
20,2021,02,01,20:00,26°C,27°C,100°6 Km/h,N/A,70%,20°C,1014.0mb, Few Clouds at 760m  
21,2021,02,01,21:00,25°C,26°C,140°7 Km/h,N/A,79%,21°C,1014.0mb, Few Clouds at 760m  
22,2021,02,01,22:00,25°C,26°C,100°9 Km/h,N/A,79%,21°C,1014.0mb, Few Clouds at 760m  
23,2021,02,01,23:00,25°C,26°C,100°6 Km/h,N/A,79%,21°C,1014.0mb, Few Clouds at 760m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
